"UO";"EIXO";"ANO";"MES";"SIGLA";"FTE";"DS_FONTE_RECURSO";"CO";"DS_ACOMPANHAMENTO";"PROG";"NOME DO PROGRAMA";"PAOE";"NOME DA ACAO";"FUNCAO";"DS_FUNCAO";"SUBFUNCAO";"DS_SUBFUNCAO";"GR";"VL_ORCADO_INICIAL";"VL_PED";"VL_ORCADO_ATUAL";"VL_EMPENHADO";"VL_LIQUIDADO";"VL_PAGO";"VL_BLOQUEADO";"VL_CONTINGENCIADO";"VL_INDISPONIVEL";"SALDO"
"34101";3;2025;"valr_janeiro";"SECULT";"2700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União - EA";3110;"Emendas Parlamentares Individuais - União";31;"Proteção, Produção e Difusão Cultural";3545;"Ampliação de Unidades e Áreas de Lazer Componentes do Patrimônio Cultural";13;"Cultura";392;"Difusão Cultural";4;0;0;0;0;0;0;0;0;0;0
"17201";6;2025;"valr_janeiro";"UERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";67;"Desenvolvimento da Educação Superior";3396;"Aparelhamento das Unidades Educacionais da Educação Superior";12;"Educação";364;"Ensino Superior";4;1283296;0;1283296;0;0;0;0;0;0;1283296
"19301";1;2025;"valr_janeiro";"DETRAN/RR";"1752";"Recursos Vinculados ao Trânsito";0;"Código Padrão";10;"Apoio Administrativo";4231;"Manutenção de Serviços de Transportes do DETRAN";6;"Segurança Pública";122;"Administração Geral";4;450000;0;450000;0;0;0;0;0;0;450000
"19301";1;2025;"valr_janeiro";"DETRAN/RR";"1501";"Outros Recursos não Vinculados";150;"Recursos Próprio da Entidade - UOS";10;"Apoio Administrativo";4331;"Manutenção de Serviços Administrativos Gerais do DETRAN";6;"Segurança Pública";122;"Administração Geral";4;6000;0;6000;0;0;0;0;0;0;6000
"34101";3;2025;"valr_janeiro";"SECULT";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";31;"Proteção, Produção e Difusão Cultural";2428;"Apoio à Produção Cultural";13;"Cultura";392;"Difusão Cultural";3;4242742;0;4242742;0;0;0;0;0;0;4242742
"21101";4;2025;"valr_janeiro";"SEINF";"1501";"Outros Recursos não Vinculados";0;"Código Padrão";43;"Infraestrutura em Obras Públicas e Urbanismo ";3536;"Obras de Infraestrutura Urbanística";15;"Urbanismo";451;"Infraestrutura Urbana";3;0;0;0;0;0;0;0;0;0;0
"17201";1;2025;"valr_janeiro";"UERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4339;"Manutenção de Serviços Administrativos Gerais da UERR";12;"Educação";122;"Administração Geral";3;2689411;0;2689411;0;0;0;0;0;0;2689411
"18101";2;2025;"valr_janeiro";"SEADI";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";73;"Desenvolvimento e Fortalecimento da Agropecuária";2278;"Desenvolvimento de Projetos de Irrigação e Drenagem";20;"Agricultura";608;"Promoção da Produção Agropecuária";3;657200;0;657200;0;0;0;0;0;0;657200
"19301";1;2025;"valr_janeiro";"DETRAN/RR";"1501";"Outros Recursos não Vinculados";150;"Recursos Próprio da Entidade - UOS";10;"Apoio Administrativo";4131;"Manutenção e Conservação de Bens Imóveis do DETRAN";6;"Segurança Pública";122;"Administração Geral";3;1414596;160314;1414596;160314;0;0;0;0;0;1254282
"26101";7;2025;"valr_janeiro";"SEJUC";"2700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União - EA";0;"Código Padrão";36;"Gestão do Sistema Penitenciário";2123;"Manutenção do Sistema de Prisional";14;"Direitos à Cidadania";421;"Custódia e Reintegração Social";3;0;0;0;0;0;0;0;0;0;0
"19301";1;2025;"valr_janeiro";"DETRAN/RR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4331;"Manutenção de Serviços Administrativos Gerais do DETRAN";6;"Segurança Pública";122;"Administração Geral";3;12700000;0;12700000;0;0;0;0;0;0;12700000
"19103";1;2025;"valr_janeiro";"PMRR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4116;"Manutenção e Conservação de Bens Imóveis da PMRR";6;"Segurança Pública";122;"Administração Geral";3;2057051;2057047;2057051;0;0;0;0;0;0;4
"33601";1;2025;"valr_janeiro";"FMMPC";"1759";"Recursos Vinculados a Fundos";0;"Código Padrão";2;"Execução do Controle Externo";2433;"Operacionalização do Fundo de Modernização e Aparelhamento do Ministério Público de Contas do Estado de Roraim";1;"Legislativa";32;"Controle Externo";3;0;0;0;0;0;0;0;0;0;0
"22101";1;2025;"valr_janeiro";"SEFAZ";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4520;"Ações de Informática da SEFAZ";4;"Administração";122;"Administração Geral";3;3005423;0;3005423;0;0;0;0;0;0;3005423
"21101";4;2025;"valr_janeiro";"SEINF";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";75;"Infraestrutura do Sistema Viário";3341;"Construção de Obras de Artes Especiais";26;"Transporte";782;"Transporte Rodoviário";4;13193919;0;13193919;0;0;0;0;0;0;13193919
"21101";4;2025;"valr_janeiro";"SEINF";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";75;"Infraestrutura do Sistema Viário";2229;"Pavimentação de Rodovias Estaduais";26;"Transporte";782;"Transporte Rodoviário";4;11218986;0;11218986;0;0;0;0;0;0;11218986
"17101";6;2025;"valr_janeiro";"SEED";"1500";"Recursos não Vinculados de Impostos ";1001;"Manutenção e Desenvolvimento do Ensino - MDE";80;"Desenvolvimento da Educação Básica";3481;"Ampliação e Reforma da Rede Física de Unidades Educacionais - Ensino Fundamental ";12;"Educação";361;"Ensino Fundamental";4;1000000;0;1000000;0;0;0;0;0;0;1000000
"16101";1;2025;"valr_janeiro";"SEPLAN";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4110;"Manutenção e Conservação de Bens Imóveis da SEPLAN";4;"Administração";122;"Administração Geral";4;226000;0;226000;0;0;0;0;0;0;226000
"17301";1;2025;"valr_janeiro";"IERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4173;"Manutenção e Conservação de Bens Imóveis do IERR";12;"Educação";122;"Administração Geral";4;230000;0;230000;0;0;0;0;0;0;230000
"19105";7;2025;"valr_janeiro";"PCRR";"1706";"Transferência Especial da União";3110;"Emendas Parlamentares Individuais - União";37;"Segurança e Defesa do Cidadão";2048;"Polícia Judiciária Civil";6;"Segurança Pública";181;"Policiamento";4;0;0;0;0;0;0;0;0;0;0
"13101";1;2025;"valr_janeiro";"CASA CIVIL";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";60;"Operacionalização da Representação Civil e Política do Governo Estadual";2072;"Organização do Cerimonial Público";4;"Administração";122;"Administração Geral";3;883560;245056;883560;245056;0;0;0;0;0;638504
"13107";1;2025;"valr_janeiro";"PROGE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4507;"Ações de Informática da PROGE";3;"Essencial à Justiça";122;"Administração Geral";3;162954;0;162954;0;0;0;0;0;0;162954
"27101";2;2025;"valr_janeiro";"SEPI";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";87;"Gestão das Politicas de Etnodesenvolvimento";2299;"Promoção da Identidade Étnica e Patrimônio Sócio-Cultural dos Povos Indígenas";13;"Cultura";423;"Assistência aos Povos Indígenas";3;7000000;0;7000000;0;0;0;0;0;0;7000000
"22101";1;2025;"valr_janeiro";"SEFAZ";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";51;"Fortalecimento e Modernização da Gestão Fiscal ";2294;"Aperfeiçoamento da Gestão Financeira e Contábil";4;"Administração";123;"Administração Financeira";3;96400;0;96400;0;0;0;0;0;0;96400
"25101";1;2025;"valr_janeiro";"MPE";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";0;"Código Padrão";4;"Defesa da Ordem Jurídica e dos Interesses Sociais e Individuais Indisponíveis";2182;"Garantia dos Direitos Difusos e Coletivos";3;"Essencial à Justiça";91;"Defesa da Ordem Jurídica";3;0;0;0;0;0;0;0;0;0;0
"19102";7;2025;"valr_janeiro";"CBMRR";"1700";"Outras Transferências de Convênios ou Instrumentos Congêneres da União";3110;"Emendas Parlamentares Individuais - União";12;"Prevenção, Combate a Sinistro e Defesa Civil ao Cidadão";3477;"Construção das Unidades de Bombeiros Militares";6;"Segurança Pública";182;"Defesa Civil";4;10000000;0;10000000;0;0;0;0;0;0;10000000
